"j","k","method","ISE_MC"
3,14,"LL",9.24969854152354e-05
3,14,"NW",0.0034836753356176
3,20,"LL",5.84746766058922e-05
3,20,"NW",0.00299364632900559
4,7,"LL",0.000835273926865549
4,7,"NW",0.00225206916559072
4,10,"LL",0.000326876979606186
4,10,"NW",0.00393920025715043
4,14,"LL",0.000216715271681121
4,14,"NW",0.00267290266406632
4,20,"LL",0.000175382759612136
4,20,"NW",0.00280401036981112
5,7,"LL",0.00100371581536734
5,7,"NW",0.0137663899402834
5,10,"LL",0.000568329195351711
5,10,"NW",0.0152791820230948
5,14,"LL",0.00042699409963746
5,14,"NW",0.00984256370255778
5,20,"LL",0.000335866938428775
5,20,"NW",0.00709517447659185
6,7,"LL",0.000415972090720321
6,7,"NW",0.00654127508021617
6,10,"LL",0.000389758897287469
6,10,"NW",0.00845907537931774
6,14,"LL",0.000156846307215604
6,14,"NW",0.00503233700591721
6,20,"LL",9.99979903111557e-05
6,20,"NW",0.00533176552108425
1,7,"LL",0.00010743082724652
1,7,"NW",0.000419171689157991
1,10,"LL",3.88792316446709e-05
1,10,"NW",0.000249197266674162
1,14,"LL",3.84675081063196e-05
1,14,"NW",0.000295234599217253
1,20,"LL",2.33023599531752e-05
1,20,"NW",0.00025351445310814
2,7,"LL",3.30007145254437e-05
2,7,"NW",0.00106193107197325
2,10,"LL",4.01422421528272e-05
2,10,"NW",0.00121104878761608
2,14,"LL",2.35160721440694e-05
2,14,"NW",0.000607964333024468
2,20,"LL",1.07185807871002e-05
2,20,"NW",0.000754818917923303
3,7,"LL",0.000354930761553904
3,7,"NW",0.00544587499679974
3,10,"LL",0.000177225493660981
3,10,"NW",0.00316750736334057
3,14,"LL",0.000110146937597607
3,14,"NW",0.00227311590142269
3,20,"LL",7.34950442727039e-05
3,20,"NW",0.00285620264336322
4,7,"LL",0.000423626429442805
4,7,"NW",0.00658012205309101
4,10,"LL",0.000548890525808651
4,10,"NW",0.00595790623110273
4,14,"LL",0.000221525881941083
4,14,"NW",0.00337372598907497
4,20,"LL",0.000152456326800819
4,20,"NW",0.00216341326367911
5,7,"LL",0.00203849540432925
5,7,"NW",0.0165240410409455
5,10,"LL",0.000775636984409164
5,10,"NW",0.0089875394775959
5,14,"LL",0.000439853139159792
5,14,"NW",0.0080926544130099
5,20,"LL",0.000255550593865305
5,20,"NW",0.00851427649096544
6,7,"LL",0.000784696114226776
6,7,"NW",0.00782122722030447
6,10,"LL",0.000282256671789887
6,10,"NW",0.00873859165992345
6,14,"LL",0.000181140895927876
6,14,"NW",0.00619329083589189
6,20,"LL",0.000101514091480607
6,20,"NW",0.0047303956616257
1,7,"LL",5.93325510591914e-05
1,7,"NW",0.000350578583528808
1,10,"LL",5.98963516877897e-05
1,10,"NW",0.000466216265826448
1,14,"LL",3.12633357622939e-05
1,14,"NW",0.000252593310739612
1,20,"LL",2.29496193384361e-05
1,20,"NW",0.000213349859164121
2,7,"LL",3.26702166339028e-05
2,7,"NW",0.0013942849164185
2,10,"LL",2.9003108123886e-05
2,10,"NW",0.00124985309243809
2,14,"LL",2.20475697753043e-05
2,14,"NW",0.000623425951153768
2,20,"LL",1.08025201596993e-05
2,20,"NW",0.000889786316510583
3,7,"LL",0.000313824561308308
3,7,"NW",0.00304901597796999
3,10,"LL",0.000214960872064292
3,10,"NW",0.00367231670627299
3,14,"LL",0.000118945552978673
3,14,"NW",0.00232409354851335
3,20,"LL",6.1093525864847e-05
3,20,"NW",0.0023825047943128
4,7,"LL",0.000617581870828235
4,7,"NW",0.00142045391853586
4,10,"LL",0.000300170004679361
4,10,"NW",0.00373191021575333
4,14,"LL",0.000226273673261475
4,14,"NW",0.0024017771475828
4,20,"LL",0.000169711579783864
4,20,"NW",0.00229469892532654
